ID PINTURA;CÓDIGO;ARTISTA;TÍTULO;SERIE;PRECIO;DISPONIBLE;AÑO;TÉCNICA;DIMENSIONES;LOCALIZACION / UBICACIÓN;ENMARCADO;AUTENTICADO;DESCRIPCIÓN / OBSERVACIONES;FOTO
1;1;Miguel Pons Tous;Zurbaraneso;;0;VERDADERO;1987;Óleo en cartón entelado;30,5 x 61;;VERDADERO;VERDADERO;;1
2;2;Miguel Pons Tous;Peras en la Playa;;0;VERDADERO;1998;Óleo sobre lienzo;20 x 40;;VERDADERO;VERDADERO;;1
3;3;Miguel Pons Tous;Soledad;;0;VERDADERO;1998;Óleo sobre madera entelada;27 x 35;;VERDADERO;VERDADERO;;1
4;4;Miguel Pons Tous;Claveles;;0;VERDADERO;1999;Óleo sobre lienzo;50 x 35;;VERDADERO;VERDADERO;;1
5;5;Miguel Pons Tous;Alelies;;0;VERDADERO;1980;Óleo en Cartón Entelado;40 x 50;;VERDADERO;VERDADERO;;1
6;6;Miguel Pons Tous;Cardos;;0;VERDADERO;2008;Óleo en Bastidor;40 x 50;;VERDADERO;VERDADERO;;1
7;7;Miguel Pons Tous;Gerberas;;0;VERDADERO;1994;Óleo en Bastidor;40 x 50;;VERDADERO;VERDADERO;;1
8;8;Miguel Pons Tous;Peras;;0;VERDADERO;1999;Óleo en Bastidor;24 x 30;;VERDADERO;VERDADERO;;1
9;9;Miguel Pons Tous;Maíz;;0;VERDADERO;2007;Óleo en Bastidor;30 x 40;;VERDADERO;VERDADERO;;1
10;10;Miguel Pons Tous;Cajón y muñeca;;0;VERDADERO;1990;Óleo en cartón entelado;50 x 60;;VERDADERO;VERDADERO;;1
11;11;Miguel Pons Tous;Capilla del Monte - Amanecer;;0;VERDADERO;1982;Óleo en chapadur;40 x 50;;VERDADERO;VERDADERO;;1
12;12;Miguel Pons Tous;Paisaje camino;;0;VERDADERO;1980;Óleo en chapadur;40 x 50;;VERDADERO;VERDADERO;;1
13;13;Miguel Pons Tous;Serrezuela;;0;VERDADERO;1986;Óleo en cartón entelado;40 x 50;;VERDADERO;VERDADERO;;1
14;14;Miguel Pons Tous;La Boca;;0;FALSO;0;;;Galería Marcchiaro;VERDADERO;FALSO;;1
15;15;Miguel Pons Tous;Bajo Grande - Córdoba;;0;VERDADERO;2004;Óleo en Cartón Entelado;30 x 40;;VERDADERO;VERDADERO;;1
16;16;Miguel Pons Tous;De la Córdoba Antigüa;;0;FALSO;2004;Óleo en Bastidor;40 x 40;;VERDADERO;VERDADERO;;1
17;17;Miguel Pons Tous;Pasando Guiñazú;;0;VERDADERO;2004;Óleo en Bastidor;30 x 60;;VERDADERO;VERDADERO;;1
18;18;Miguel Pons Tous;Capilla de Villa de Soto;;0;VERDADERO;2007;Óleo en Bastidor;40 x 60;;VERDADERO;VERDADERO;;1
19;19;Miguel Pons Tous;Fin del invierno en Calera;;0;VERDADERO;1982;Óleo en Chapadur;50 x 60;;VERDADERO;VERDADERO;;1
20;20;Miguel Pons Tous;Cobre y bronce;;0;FALSO;1981;Óleo en Chapadur;50 x 60;;VERDADERO;VERDADERO;;1
21;21;Miguel Pons Tous;Junto al camino;;0;VERDADERO;2003;Óleo en Bastidor;40 x 60;;VERDADERO;VERDADERO;;1
22;22;Miguel Pons Tous;Flores de Pascua;;0;VERDADERO;1976;Óleo en Cartón Entelado;27 x 35;;VERDADERO;VERDADERO;;1
